# t, l_px[0], l_py[0], l_vx[0], l_vy[0], l_px[1], l_py[1], l_vx[1], l_vy[1], l_aps[0], l_aps[1]
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.989999999999999991e+00,0.000000000000000000e+00,-5.000000000000000278e-02,1.000000000000000056e-01,0.000000000000000000e+00
5.259158011339133409e-01,5.997533847211999236e-20,0.000000000000000000e+00,2.280796216535373442e-19,0.000000000000000000e+00,9.999766447443975137e-01,1.963703001638483325e+00,-8.883947484565374482e-05,-5.000566787760462456e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.051831602267827126e+00,2.399013538884800658e-19,0.000000000000000000e+00,4.561592433070748810e-19,0.000000000000000000e+00,9.999065195197455180e-01,1.937401330093497354e+00,-1.778861018985141329e-04,-5.001777110006726257e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.577747403401739579e+00,5.397780462490799072e-19,0.000000000000000000e+00,6.842388649606118400e-19,0.000000000000000000e+00,9.997894758459848763e-01,1.911091601566392351e+00,-2.672902607543127247e-04,-5.003630746427614739e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.103663204535652032e+00,9.596054155539198778e-19,0.000000000000000000e+00,9.123184866141487990e-19,0.000000000000000000e+00,9.996252860989121025e-01,1.884770432986996536e+00,-3.572025649806117600e-04,-5.006127640454234584e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.629579005669564484e+00,1.499383461802998918e-18,0.000000000000000000e+00,1.140398108267685758e-18,0.000000000000000000e+00,9.994136433436844325e-01,1.858434441187130748e+00,-4.477741693119239772e-04,-5.009267855156465665e-02,1.000000000000000056e-01,0.000000000000000000e+00
3.155494806803476937e+00,2.159112184996317703e-18,0.000000000000000000e+00,1.368477729921222717e-18,0.000000000000000000e+00,9.991541604475744354e-01,1.832080243524239593e+00,-5.391594345962865764e-04,-5.013051015818609235e-02,1.000000000000000056e-01,0.000000000000000000e+00
3.681410607937389390e+00,2.938791585133876617e-18,0.000000000000000000e+00,1.596557351574759676e-18,0.000000000000000000e+00,9.988463682743082828e-01,1.805704460373639186e+00,-6.315152488838059533e-04,-5.017476485391258317e-02,1.000000000000000056e-01,0.000000000000000000e+00
4.207326409071302287e+00,3.838421662215677200e-18,0.000000000000000000e+00,1.824636973228296828e-18,0.000000000000000000e+00,9.984897149875513467e-01,1.779303715056610002e+00,-7.249992068021105266e-04,-5.022543788598771847e-02,1.000000000000000056e-01,0.000000000000000000e+00
4.733242210205214739e+00,4.858002416241715217e-18,0.000000000000000000e+00,2.052716594881833787e-18,0.000000000000000000e+00,9.980835656710966841e-01,1.752874632938055344e+00,-8.197696754877766391e-04,-5.028252624052542002e-02,1.000000000000000056e-01,0.000000000000000000e+00
5.259158011339127192e+00,5.997533847211993362e-18,0.000000000000000000e+00,2.280796216535370746e-18,0.000000000000000000e+00,9.976272017552448856e-01,1.726413840687756940e+00,-9.159870877062898731e-04,-5.034602710385004815e-02,1.000000000000000056e-01,0.000000000000000000e+00
5.785073812473039645e+00,7.263403860999280896e-18,0.000000000000000000e+00,2.614143355875155532e-18,0.000000000000000000e+00,9.971198184013287946e-01,1.699917968151273495e+00,-1.013819466225509593e-03,-5.041593074552268294e-02,1.000000000000000056e-01,0.000000000000000000e+00
6.310989613606952098e+00,8.818149173699618657e-18,0.000000000000000000e+00,3.298382220835766409e-18,0.000000000000000000e+00,9.965605212386425826e-01,1.673383650951205448e+00,-1.113438282173930720e-03,-5.049222627662801333e-02,1.000000000000000056e-01,0.000000000000000000e+00
6.836905414740864551e+00,1.072848791331749935e-17,7.097673191966864120e-22,3.877353568110129844e-18,1.754458628104134065e-20,9.959483253764465083e-01,1.646807529940087722e+00,-1.215016321276231282e-03,-5.057490470858581888e-02,1.000000000000000056e-01,0.000000000000000000e+00
7.362821215874777003e+00,1.276764942136958771e-17,3.992441170481359862e-20,3.877353568110129844e-18,1.315843971078100248e-19,9.952821546798590324e-01,1.620186250185732479e+00,-1.318727824146440552e-03,-5.066395899344034587e-02,1.000000000000000056e-01,0.000000000000000000e+00
