# it, index, xp, yp, vx, vy, rhopswarm, aps
0.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.989999999999999991e+00,0.000000000000000000e+00,-5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.213650000000000007e-01,1.000000000000000000e+00,-9.999980000000000535e-01,1.983932000000000029e+00,4.100000000000000047e-05,-5.000099999999999684e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.022750000000000103e-01,1.000000000000000000e+00,-9.999930000000000208e-01,1.979886000000000035e+00,6.799999999999999946e-05,-5.000299999999999884e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.236399999999999832e-01,1.000000000000000000e+00,-9.999820000000000375e-01,1.973816999999999933e+00,1.090000000000000067e-04,-5.000500000000000084e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.045509999999999939e-01,1.000000000000000000e+00,-9.999719999999999720e-01,1.969770999999999939e+00,1.369999999999999961e-04,-5.000799999999999690e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.259160000000000501e-01,1.000000000000000000e+00,-9.999529999999999808e-01,1.963702000000000059e+00,1.779999999999999898e-04,-5.001099999999999990e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.068259999999999765e-01,1.000000000000000000e+00,-9.999379999999999935e-01,1.959654999999999925e+00,2.049999999999999956e-04,-5.001400000000000290e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.281910000000000327e-01,1.000000000000000000e+00,-9.999099999999999655e-01,1.953584999999999905e+00,2.460000000000000164e-04,-5.001900000000000096e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.091009999999999591e-01,1.000000000000000000e+00,-9.998890000000000278e-01,1.949537999999999993e+00,2.739999999999999923e-04,-5.002299999999999802e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.304660000000000153e-01,1.000000000000000000e+00,-9.998540000000000205e-01,1.943465999999999916e+00,3.150000000000000131e-04,-5.002899999999999708e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.011376999999999970e+00,1.000000000000000000e+00,-9.998270000000000213e-01,1.939418000000000086e+00,3.420000000000000188e-04,-5.003300000000000108e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.132741999999999916e+00,1.000000000000000000e+00,-9.997829999999999773e-01,1.933346000000000009e+00,3.829999999999999854e-04,-5.004000000000000115e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.213651999999999953e+00,1.000000000000000000e+00,-9.997509999999999453e-01,1.929297000000000040e+00,4.110000000000000155e-04,-5.004600000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.335016999999999898e+00,1.000000000000000000e+00,-9.996990000000000043e-01,1.923221999999999987e+00,4.519999999999999821e-04,-5.005400000000000127e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.415926999999999936e+00,1.000000000000000000e+00,-9.996610000000000218e-01,1.919172000000000100e+00,4.789999999999999879e-04,-5.006000000000000033e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.537292000000000103e+00,1.000000000000000000e+00,-9.996000000000000441e-01,1.913095999999999908e+00,5.209999999999999788e-04,-5.006900000000000239e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.618201999999999918e+00,1.000000000000000000e+00,-9.995570000000000288e-01,1.909045000000000103e+00,5.479999999999999845e-04,-5.007600000000000245e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.739568000000000003e+00,1.000000000000000000e+00,-9.994880000000000431e-01,1.902967000000000075e+00,5.900000000000000296e-04,-5.008699999999999958e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.820478000000000041e+00,1.000000000000000000e+00,-9.994389999999999663e-01,1.898913999999999991e+00,6.170000000000000354e-04,-5.009399999999999964e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.901388000000000078e+00,1.000000000000000000e+00,-9.993880000000000541e-01,1.894859999999999989e+00,6.449999999999999570e-04,-5.010200000000000070e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.022752999999999801e+00,1.000000000000000000e+00,-9.993069999999999453e-01,1.888778999999999986e+00,6.870000000000000022e-04,-5.011399999999999882e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.103663000000000061e+00,1.000000000000000000e+00,-9.992510000000000003e-01,1.884724000000000066e+00,7.140000000000000079e-04,-5.012300000000000089e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.225028000000000006e+00,1.000000000000000000e+00,-9.991609999999999658e-01,1.878640000000000088e+00,7.560000000000000530e-04,-5.013600000000000001e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.305938999999999961e+00,1.000000000000000000e+00,-9.990989999999999593e-01,1.874583000000000110e+00,7.839999999999999747e-04,-5.014500000000000207e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.427303999999999906e+00,1.000000000000000000e+00,-9.990010000000000279e-01,1.868495999999999935e+00,8.260000000000000198e-04,-5.016000000000000320e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.508214000000000166e+00,1.000000000000000000e+00,-9.989329999999999599e-01,1.864438000000000040e+00,8.540000000000000499e-04,-5.016999999999999932e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.629579000000000111e+00,1.000000000000000000e+00,-9.988270000000000204e-01,1.858348000000000111e+00,8.959999999999999866e-04,-5.018500000000000044e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.710488999999999926e+00,1.000000000000000000e+00,-9.987540000000000306e-01,1.854287000000000019e+00,9.240000000000000166e-04,-5.019599999999999757e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.831853999999999871e+00,1.000000000000000000e+00,-9.986390000000000544e-01,1.848193999999999892e+00,9.659999999999999533e-04,-5.021300000000000069e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.912764000000000131e+00,1.000000000000000000e+00,-9.985600000000000032e-01,1.844130999999999965e+00,9.940000000000000918e-04,-5.022499999999999881e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.034130000000000216e+00,1.000000000000000000e+00,-9.984370000000000189e-01,1.838033999999999946e+00,1.036000000000000029e-03,-5.024300000000000294e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.115040000000000031e+00,1.000000000000000000e+00,-9.983520000000000172e-01,1.833968000000000043e+00,1.064000000000000059e-03,-5.025500000000000106e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.236404999999999976e+00,1.000000000000000000e+00,-9.982199999999999962e-01,1.827868000000000048e+00,1.106999999999999911e-03,-5.027399999999999924e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.317314999999999792e+00,1.000000000000000000e+00,-9.981290000000000440e-01,1.823800000000000088e+00,1.134999999999999941e-03,-5.028699999999999837e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.438680000000000181e+00,1.000000000000000000e+00,-9.979890000000000150e-01,1.817695000000000061e+00,1.178000000000000011e-03,-5.030699999999999755e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.519589999999999996e+00,1.000000000000000000e+00,-9.978920000000000012e-01,1.813623999999999903e+00,1.206000000000000041e-03,-5.032099999999999768e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.600499999999999812e+00,1.000000000000000000e+00,-9.977939999999999587e-01,1.809552000000000049e+00,1.234999999999999987e-03,-5.033499999999999780e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.721865999999999897e+00,1.000000000000000000e+00,-9.976410000000000000e-01,1.803441999999999990e+00,1.276999999999999923e-03,-5.035699999999999898e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.802776000000000156e+00,1.000000000000000000e+00,-9.975370000000000070e-01,1.799366999999999939e+00,1.306000000000000086e-03,-5.037200000000000011e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.924141000000000101e+00,1.000000000000000000e+00,-9.973760000000000403e-01,1.793252000000000068e+00,1.348999999999999939e-03,-5.039500000000000229e-02,0.000000000000000000e+00,0.000000000000000000e+00
