# it, index, xp, yp, vx, vy, rhopswarm, aps
1.011380000000000057e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.984942999999999902e+00,-9.000000000000000228e-06,-5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.022750000000000103e-01,1.000000000000000000e+00,9.999980000000000535e-01,1.979886000000000035e+00,-1.699999999999999987e-05,-5.000099999999999684e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.034129999999999883e-01,1.000000000000000000e+00,9.999959999999999960e-01,1.974828999999999946e+00,-2.599999999999999840e-05,-5.000099999999999684e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.045509999999999939e-01,1.000000000000000000e+00,9.999930000000000208e-01,1.969772000000000078e+00,-3.399999999999999973e-05,-5.000199999999999784e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.056880000000000264e-01,1.000000000000000000e+00,9.999890000000000168e-01,1.964714999999999989e+00,-4.300000000000000165e-05,-5.000299999999999884e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.068259999999999765e-01,1.000000000000000000e+00,9.999839999999999840e-01,1.959657999999999900e+00,-5.099999999999999960e-05,-5.000399999999999984e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.079640000000000377e-01,1.000000000000000000e+00,9.999789999999999512e-01,1.954601000000000033e+00,-6.000000000000000152e-05,-5.000500000000000084e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.091009999999999591e-01,1.000000000000000000e+00,9.999719999999999720e-01,1.949543000000000026e+00,-6.799999999999999946e-05,-5.000600000000000184e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.102390000000000203e-01,1.000000000000000000e+00,9.999649999999999928e-01,1.944485999999999937e+00,-7.700000000000000139e-05,-5.000700000000000284e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.011376999999999970e+00,1.000000000000000000e+00,9.999569999999999848e-01,1.939427999999999930e+00,-8.600000000000000331e-05,-5.000799999999999690e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.112514000000000003e+00,1.000000000000000000e+00,9.999479999999999480e-01,1.934369999999999923e+00,-9.399999999999999448e-05,-5.000999999999999890e-02,0.000000000000000000e+00,0.000000000000000000e+00
