# it, index, xp, yp, rhopswarm, aps
1.011380000000000057e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.984942999999999902e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.022750000000000103e-01,1.000000000000000000e+00,9.999980000000000535e-01,1.979886000000000035e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.034129999999999883e-01,1.000000000000000000e+00,9.999959999999999960e-01,1.974828999999999946e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.045509999999999939e-01,1.000000000000000000e+00,9.999930000000000208e-01,1.969772000000000078e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.056880000000000264e-01,1.000000000000000000e+00,9.999890000000000168e-01,1.964714999999999989e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.068259999999999765e-01,1.000000000000000000e+00,9.999839999999999840e-01,1.959657999999999900e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.079640000000000377e-01,1.000000000000000000e+00,9.999789999999999512e-01,1.954601000000000033e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.091009999999999591e-01,1.000000000000000000e+00,9.999719999999999720e-01,1.949543000000000026e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.102390000000000203e-01,1.000000000000000000e+00,9.999649999999999928e-01,1.944485999999999937e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.011376999999999970e+00,1.000000000000000000e+00,9.999569999999999848e-01,1.939427999999999930e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.112514000000000003e+00,1.000000000000000000e+00,9.999479999999999480e-01,1.934369999999999923e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.213651999999999953e+00,1.000000000000000000e+00,9.999379999999999935e-01,1.929311999999999916e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.314789999999999903e+00,1.000000000000000000e+00,9.999270000000000103e-01,1.924253999999999909e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.415926999999999936e+00,1.000000000000000000e+00,9.999149999999999983e-01,1.919195999999999902e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.517065000000000108e+00,1.000000000000000000e+00,9.999029999999999863e-01,1.914136999999999977e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.618201999999999918e+00,1.000000000000000000e+00,9.998890000000000278e-01,1.909078999999999970e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.719340000000000090e+00,1.000000000000000000e+00,9.998749999999999583e-01,1.904020000000000046e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800249999999999906e+00,1.000000000000000000e+00,9.998629999999999463e-01,1.899971999999999994e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.901388000000000078e+00,1.000000000000000000e+00,9.998470000000000413e-01,1.894913000000000070e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.002526000000000028e+00,1.000000000000000000e+00,9.998299999999999965e-01,1.889853000000000005e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.103663000000000061e+00,1.000000000000000000e+00,9.998129999999999518e-01,1.884794000000000080e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.204800999999999789e+00,1.000000000000000000e+00,9.997939999999999605e-01,1.879734000000000016e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.305938999999999961e+00,1.000000000000000000e+00,9.997749999999999693e-01,1.874673000000000034e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.407075999999999993e+00,1.000000000000000000e+00,9.997540000000000315e-01,1.869612000000000052e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.508214000000000166e+00,1.000000000000000000e+00,9.997329999999999828e-01,1.864551000000000069e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.609351000000000198e+00,1.000000000000000000e+00,9.997110000000000163e-01,1.859490000000000087e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.710488999999999926e+00,1.000000000000000000e+00,9.996880000000000210e-01,1.854427999999999965e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.811627000000000098e+00,1.000000000000000000e+00,9.996650000000000258e-01,1.849366000000000065e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.912764000000000131e+00,1.000000000000000000e+00,9.996399999999999730e-01,1.844303999999999943e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.013901999999999859e+00,1.000000000000000000e+00,9.996140000000000025e-01,1.839240999999999904e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.115040000000000031e+00,1.000000000000000000e+00,9.995880000000000321e-01,1.834178000000000086e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.216177000000000064e+00,1.000000000000000000e+00,9.995610000000000328e-01,1.829115000000000046e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.317314999999999792e+00,1.000000000000000000e+00,9.995319999999999760e-01,1.824051000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.418452999999999964e+00,1.000000000000000000e+00,9.995030000000000303e-01,1.818985999999999992e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.519589999999999996e+00,1.000000000000000000e+00,9.994729999999999448e-01,1.813922000000000034e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600499999999999812e+00,1.000000000000000000e+00,9.994480000000000031e-01,1.809868999999999950e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.701637999999999984e+00,1.000000000000000000e+00,9.994169999999999998e-01,1.804804000000000075e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.802776000000000156e+00,1.000000000000000000e+00,9.993840000000000501e-01,1.799738000000000060e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.903913000000000189e+00,1.000000000000000000e+00,9.993509999999999893e-01,1.794670999999999905e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.005050999999999917e+00,1.000000000000000000e+00,9.993159999999999821e-01,1.789603999999999973e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.106188999999999645e+00,1.000000000000000000e+00,9.992809999999999748e-01,1.784537000000000040e+00,0.000000000000000000e+00,0.000000000000000000e+00
