# t, l_px[0], l_py[0], l_vx[0], l_vy[0], l_px[1], l_py[1], l_vx[1], l_vy[1], l_aps[0], l_aps[1]
0.000000000000000000e+00,-3.015834452038721565e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.303681118165676528e-02,3.015834452038721565e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.303681118165676528e-02,1.000000000000000048e-04,1.000000000000000048e-04
5.000043341629931692e-01,-3.015833650351802133e-04,-5.185487763722455411e-04,3.203740727718178013e-10,-3.303681117655660887e-02,3.015833650351802133e-04,5.185487763722455411e-04,-3.203740727718181632e-10,3.303681117655660887e-02,1.000000000000000048e-04,1.000000000000000048e-04
1.000008668329254613e+00,3.015831246116158553e-04,-9.629024472498659039e-04,-6.417668617176023051e-10,3.303681118156336777e-02,-3.015831246116158553e-04,9.629024472498659039e-04,6.417668617176024085e-10,-3.303681118156336777e-02,1.000000000000000048e-04,1.000000000000000048e-04
1.500002888730109563e+00,3.015827238613090554e-04,-4.446877974413661208e-04,-9.611276596348120511e-10,3.303681117666117800e-02,-3.015827238613090554e-04,4.446877974413661208e-04,9.611276596348108103e-10,-3.303681117666117800e-02,1.000000000000000048e-04,1.000000000000000048e-04
2.000007222896370340e+00,-3.015821628468752535e-04,-7.386097894191510763e-05,1.283474391539581465e-09,-3.303681118129894040e-02,3.015821628468752535e-04,7.386097894191510763e-05,-1.283474391539583120e-09,3.303681118129894040e-02,1.000000000000000048e-04,1.000000000000000048e-04
2.500001443275270852e+00,-3.015814415147103017e-04,-5.920756287452689148e-04,1.601905511738040014e-09,-3.303681117686793622e-02,3.015814415147103017e-04,5.920756287452689148e-04,-1.601905511738040014e-09,3.303681117686793622e-02,1.000000000000000048e-04,1.000000000000000048e-04
3.000005777419577413e+00,3.015805599065885098e-04,-8.893755948665905313e-04,-1.925095884286401700e-09,3.303681118089116242e-02,-3.015805599065885098e-04,8.893755948665905313e-04,1.925095884286399632e-09,-3.303681118089116242e-02,1.000000000000000048e-04,1.000000000000000048e-04
3.500010111563883974e+00,3.015795179685349325e-04,-3.708268185097189228e-04,-2.242727808904597113e-09,3.303681117717548188e-02,-3.015795179685349325e-04,3.708268185097189228e-04,2.242727808904595872e-09,-3.303681117717548188e-02,1.000000000000000048e-04,1.000000000000000048e-04
4.000004331942784930e+00,-3.015783157857036757e-04,-1.473878313244463380e-04,2.566606914010235074e-09,-3.303681118037880837e-02,3.015783157857036757e-04,1.473878313244463380e-04,-2.566606914010238382e-09,3.303681118037880837e-02,1.000000000000000048e-04,1.000000000000000048e-04
4.500008666109046374e+00,-3.015769532554090845e-04,-6.659366076776351015e-04,2.883605897496151240e-09,-3.303681117757061025e-02,3.015769532554090845e-04,6.659366076776351015e-04,-2.883605897496153721e-09,3.303681117757061025e-02,1.000000000000000048e-04,1.000000000000000048e-04
5.000002886509901323e+00,3.015754304771090899e-04,-8.158487424850924914e-04,-3.207997999477295751e-09,3.303681117980478837e-02,-3.015754304771090899e-04,8.158487424850924914e-04,3.207997999477291615e-09,-3.303681117980478837e-02,1.000000000000000048e-04,1.000000000000000048e-04
5.500007220676162767e+00,3.015737473507528648e-04,-2.972999661343914027e-04,-3.524561313600650536e-09,3.303681117804471712e-02,-3.015737473507528648e-04,2.972999661343914027e-04,3.524561313600641851e-09,-3.303681117804471712e-02,1.000000000000000048e-04,1.000000000000000048e-04
6.000001441077017716e+00,-3.015719039716077362e-04,-2.209146837048705570e-04,3.849272164242837655e-09,-3.303681117920903576e-02,3.015719039716077362e-04,2.209146837048705570e-04,-3.849272164242845099e-09,3.303681117920903576e-02,1.000000000000000048e-04,1.000000000000000048e-04
6.500005775243279160e+00,-3.015699002441483913e-04,-7.394634600542374266e-04,4.165613187212010073e-09,-3.303681117858228017e-02,3.015699002441483913e-04,7.394634600542374266e-04,-4.165613187212015864e-09,3.303681117858228017e-02,1.000000000000000048e-04,1.000000000000000048e-04
7.000010109409540604e+00,3.015677362125573696e-04,-7.419877635478511896e-04,-4.490446648793103063e-09,3.303681117862132532e-02,-3.015677362125573696e-04,7.419877635478511896e-04,4.490446648793093964e-09,-3.303681117862132532e-02,1.000000000000000048e-04,1.000000000000000048e-04
7.500004329810395554e+00,3.015654119230583297e-04,-2.237731137564742386e-04,-4.806780379132148837e-09,3.303681117916285048e-02,-3.015654119230583297e-04,2.237731137564742386e-04,4.806780379132135603e-09,-3.303681117916285048e-02,1.000000000000000048e-04,1.000000000000000048e-04
8.000008663976656109e+00,-3.015629272709483498e-04,-2.947756626408953840e-04,5.131526084249400383e-09,-3.303681117807975159e-02,3.015629272709483498e-04,2.947756626408953840e-04,-5.131526084249416099e-09,3.303681117807975159e-02,1.000000000000000048e-04,1.000000000000000048e-04
8.500002884333602182e+00,-3.015602823728481732e-04,-8.129903124334330548e-04,5.448079783913089889e-09,-3.303681117975887371e-02,3.015602823728481732e-04,8.129903124334330548e-04,-5.448079783913106432e-09,3.303681117975887371e-02,1.000000000000000048e-04,1.000000000000000048e-04
9.000007218455953861e+00,3.015574770924038723e-04,-6.684609111710296389e-04,-5.772535819727013435e-09,3.303681117760076669e-02,-3.015574770924038723e-04,6.684609111710296389e-04,5.772535819726997718e-09,-3.303681117760076669e-02,1.000000000000000048e-04,1.000000000000000048e-04
9.500001438812899934e+00,3.015545115768054332e-04,-1.502462613759772425e-04,-6.089523613154447922e-09,3.303681118033635622e-02,-3.015545115768054332e-04,1.502462613759772425e-04,6.089523613154431378e-09,-3.303681118033635622e-02,1.000000000000000048e-04,1.000000000000000048e-04
1.000000577293525161e+01,-3.015513856594079461e-04,-3.683025150167186556e-04,6.413494993477124890e-09,-3.303681117720008026e-02,3.015513856594079461e-04,3.683025150167186556e-04,-6.413494993477145569e-09,3.303681117720008026e-02,1.000000000000000048e-04,1.000000000000000048e-04
